study_words,test,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,text.started,slider.started,slider.response,slider.rt,text_2.started,textbox.started,text_3.started,mouse.started,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,text_2.stopped,textbox.stopped,text_3.stopped,mouse.stopped,participant,session,date,expName,psychopyVersion,frameRate
,c_s_h_o_n,,,,,0,6,6,3,,,,,53.9350956,53.9350956,53.9350956,0.003314,cushion,[-0.10648148148148148],[-0.30185185185185187],[1],[0],[0],[5.247936500003561],['text_3'],1,1,2023-09-29_11h35.35.741,5_Priming,2023.1.3,60.1413683,,,,
,c_m_r_,,,,,0,7,7,6,,,,,59.1873417,59.1873417,59.1873417,0.0036012,camera,[-0.10648148148148148],[-0.30185185185185187],[1],[0],[0],[3.4522569999971893],['text_3'],1,1,2023-09-29_11h35.35.741,5_Priming,2023.1.3,60.1413683,,,,
,_ea_o_,,,,,0,8,8,5,,,,,62.6442824,62.6442824,62.6442824,0.004059,,[],[],[],[],[],[],[],1,1,2023-09-29_11h35.35.741,5_Priming,2023.1.3,60.1413683,,,,
,_p_a_d_,,,,,0,9,9,7,,,,,72.6523499,72.6523499,72.6523499,0.0151462,ipad,[-0.10648148148148148],[-0.30185185185185187],[1],[0],[0],[7.652005500000087],['text_3'],1,1,2023-09-29_11h35.35.741,5_Priming,2023.1.3,60.1413683,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jinal ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
study_word,test,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,text.started,slider.started,slider.response,slider.rt,text_2.started,textbox.started,text_3.started,mouse.started,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,,,,
book,,0,0,0,2,,,,,8.8726633,8.8726633,1.014814815,2.115808,,,,,,,,,,,,,1,1,2023-09-29_11h45.00.650,word priming experiment,2023.1.3,60.01403129,,,,
tiger,,0,1,1,1,,,,,11.0007346,11.0007346,1.014814815,0.3287495,,,,,,,,,,,,,1,1,2023-09-29_11h45.00.650,word priming experiment,2023.1.3,60.01403129,,,,
cushion,,0,2,2,3,,,,,11.3502905,11.3502905,1.014814815,0.5431455,,,,,,,,,,,,,1,1,2023-09-29_11h45.00.650,word priming experiment,2023.1.3,60.01403129,,,,
piano,,0,3,3,4,,,,,11.9164834,11.9164834,1.014814815,0.5475151,,,,,,,,,,,,,1,1,2023-09-29_11h45.00.650,word priming experiment,2023.1.3,60.01403129,,,,
vase,,0,4,4,0,,,,,12.4828608,12.4828608,1.014814815,0.580298,,,,,,,,,,,,,1,1,2023-09-29_11h45.00.650,word priming experiment,2023.1.3,60.01403129,,,,
,_p_a_d_,,,,,0,0,0,7,,,,,13.0871372,13.0871372,13.0871372,0.0081908,ipads,[-0.05462962962962963],[-0.31296296296296294],[1],[0],[0],[9.74968839995563],['text_3'],1,1,2023-09-29_11h45.00.650,word priming experiment,2023.1.3,60.01403129,,,,
,c_s_h_o_n,,,,,0,1,1,3,,,,,22.8411512,22.8411512,22.8411512,0.0018554,cushion,[-0.05462962962962963],[-0.31296296296296294],[1],[0],[0],[3.2438479997217655],['text_3'],1,1,2023-09-29_11h45.00.650,word priming experiment,2023.1.3,60.01403129,,,,
,o_a_n_e,,,,,0,2,2,9,,,,,26.0885087,26.0885087,26.0885087,0.0019569,orange,[-0.05462962962962963],[-0.31296296296296294],[1],[0],[0],[2.744737599976361],['text_3'],1,1,2023-09-29_11h45.00.650,word priming experiment,2023.1.3,60.01403129,,,,
,c_m_r_,,,,,0,3,3,6,,,,,28.8359824,28.8359824,28.8359824,0.0027463,camera,[-0.05462962962962963],[-0.31296296296296294],[1],[0],[0],[3.326350699644536],['text_3'],1,1,2023-09-29_11h45.00.650,word priming experiment,2023.1.3,60.01403129,,,,
,_ia_n_,,,,,0,4,4,4,,,,,32.1666505,32.1666505,32.1666505,0.0027192,piano,[-0.05462962962962963],[-0.31296296296296294],[1],[0],[0],[2.7107772999443114],['text_3'],1,1,2023-09-29_11h45.00.650,word priming experiment,2023.1.3,60.01403129,,,,
,_ea_o_,,,,,0,5,5,5,,,,,34.8809503,34.8809503,34.8809503,0.002491,peacoc,[],[],[],[],[],[],[],1,1,2023-09-29_11h45.00.650,word priming experiment,2023.1.3,60.01403129,,,,
,_oo_,,,,,0,6,6,2,,,,,44.8894552,44.8894552,44.8894552,0.0104009,cool,[-0.05462962962962963],[-0.31296296296296294],[1],[0],[0],[4.276745600160211],['text_3'],1,1,2023-09-29_11h45.00.650,word priming experiment,2023.1.3,60.01403129,,,,
,_a_e,,,,,0,7,7,0,,,,,49.1690565,49.1690565,49.1690565,0.0021837,base,[-0.05462962962962963],[-0.31296296296296294],[1],[0],[0],[3.959368800278753],['text_3'],1,1,2023-09-29_11h45.00.650,word priming experiment,2023.1.3,60.01403129,,,,
,_o_s_,,,,,0,8,8,8,,,,,53.1328468,53.1328468,53.1328468,0.0021521,rose,[-0.05462962962962963],[-0.31296296296296294],[1],[0],[0],[2.512404100038111],['text_3'],1,1,2023-09-29_11h45.00.650,word priming experiment,2023.1.3,60.01403129,,,,
,t_g_r,,,,,0,9,9,1,,,,,55.6472603,55.6472603,55.6472603,0.0023051,tiger,[-0.05462962962962963],[-0.31296296296296294],[1],[0],[0],[3.792937899939716],['text_3'],1,1,2023-09-29_11h45.00.650,word priming experiment,2023.1.3,60.01403129,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suyashi ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
